,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),SolarUsed,LoadUsed,Social Welfare (R),Cost Batt Discharge (R),Cost Batt Charge (R)
0,agent1,0,-0.06999999996547507,-1.8456347561368602e-12,-0.32,5.261405515237645e-11,0.0,0.6172527779421391,,,-0.15483037559480375,1.1600000000249222,1.2799997001282357
1,agent2,0,0.0,-1.637801005927031e-12,-0.27,8.765331233013836e-10,0.0,0.6140561663503034,,,-0.30493001485096727,1.0800000008080497,1.4
2,agent3,0,0.0,0.0,-1.62,0.0,0.0,0.610770291258631,,,1.141708348219134,0.0,0.0
3,agent4,0,-0.07999999997890649,-1.8260948309034575e-12,-0.29,3.447170220545938e-10,0.0,0.6140668250662835,,,-0.17314044550232513,1.1200000003113588,1.2900000000474603
4,agent5,0,0.0,0.0,-0.42,0.0,0.0,0.6140765392193509,,,-0.14444959744745156,0.0,0.0
5,agent1,1,-0.009999981984851147,-3.013234106674645e-11,-0.18,2.854796892281377e-10,0.0,0.3359499055087044,,,-0.11998637627193706,1.1300000001167867,1.0900005224393166
6,agent2,1,0.0,-4.298783551348606e-13,-0.2,2.422104591124465e-12,0.0,0.3370034696406599,,,-0.11144865463354295,1.3500000000011918,1.37
7,agent3,1,0.0,0.0,-0.43,0.0,0.0,0.3359518508064332,,,0.13516442615499596,0.0,0.0
8,agent4,1,0.0,-2.877698079828406e-13,-0.56,4.4445823122925874e-12,0.0,0.3359526880977417,,,0.2742628724373408,1.2400000000012883,1.68
9,agent5,1,0.0,0.0,-0.3,0.0,0.0,0.33474832299786333,,,-0.0033295902068499195,0.0,0.0
10,agent1,2,0.0,-8.43769498715119e-13,-0.26,4.4832274542921956e-12,0.0,0.27999517859988043,,,0.007405404456250875,1.3200000000016894,1.46
11,agent2,2,0.0,-7.531752999057062e-13,-0.15,5.9805736890314235e-12,0.0,0.2839373895671777,,,-0.1128741054271459,1.2800000000023002,1.51
12,agent3,2,0.0,0.0,-0.46,0.0,0.0,0.2799874183797355,,,0.22141298151959726,0.0,0.0
13,agent4,2,0.0,-5.986322548778844e-13,-0.41,4.088224477145407e-11,0.0,0.2760796171316278,,,0.17045927331433974,1.160000000020746,1.65
14,agent5,2,0.0,0.0,-0.12,0.0,0.0,0.2799827602176867,,,-0.14238251337498564,0.0,0.0
15,agent1,3,0.0,-2.540190280342358e-13,-0.46,2.8878842505397944e-11,0.0,0.35160760149238907,,,0.15265379416959196,1.1800000000204371,1.47
16,agent2,3,0.0,-3.2862601528904634e-13,-0.42,1.5554208723380677e-12,0.0,0.3500543329728202,,,0.1108964723200862,1.3500000000004284,1.66
