,Time Period,Avg Price (c/kwh)
0,0,96.71415950752399
1,1,96.713713029264
2,2,96.71399961160105
3,3,96.7139983604724
4,4,96.71399948425149
5,5,96.71399876588437
6,6,96.71401874588466
7,7,155.4120319208486
8,8,155.41200365557864
9,9,155.41221053393443
10,10,155.41221505541105
11,11,123.03434496064524
12,12,116.83339671047786
13,13,122.93991861984264
14,14,122.9400805366238
15,15,122.93985974258189
16,16,122.940159051507
17,17,122.94010429167801
18,18,155.41187684159993
19,19,155.41205332112057
20,20,155.41171179064278
21,21,122.93987950875885
22,22,122.93995458545876
23,23,122.93990746663168
