,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),SolarUsed,LoadUsed,Social Welfare (R),Cost Batt Discharge (R),Cost Batt Charge (R)
0,agent1,0,-0.5299999997663575,-6.750155989720952e-14,-0.28,3.889676869970891e-13,0.0,0.4679461285146864,,,0.542039975633426,1.2200000000012376,1.0799998002556843
1,agent2,0,-0.3699999999945334,-1.0125233984581428e-13,-0.14,6.789226658579738e-12,0.0,0.46552016871007035,,,0.20434631113011684,1.3200000000063512,1.3200010000038414
2,agent3,0,0.0,0.0,-0.1,0.0,0.0,0.46795000259048575,,,-0.3766639380257176,0.0,0.0
3,agent4,0,-0.479999998667311,-7.101874643922201e-12,-0.33,1.6182238224712013e-08,0.0,0.467945944799352,,,0.5006404535169319,1.1200000424783754,1.1300016010272766
4,agent5,0,0.0,0.0,-0.11,0.0,0.0,0.47093359474532903,,,-0.36798805431949977,0.0,0.0
5,agent1,1,-0.04999999997130811,-1.0906830993917538e-12,-0.27,2.2682409488278726e-11,0.0,0.2000420847097442,,,0.15016240127177577,1.340000000005316,1.3100000000573837
6,agent2,1,-0.019999999567490184,-6.444622613344109e-12,-0.13,4.717930007271871e-11,0.0,0.19999992919545306,,,-0.0378198494321107,1.36000000002535,1.2600000099477258
7,agent3,1,0.0,0.0,-0.1,0.0,0.0,0.19846322679998687,,,-0.09864835733517271,0.0,0.0
8,agent4,1,-0.03999999467160896,-1.014477390981483e-11,-0.29,6.876166300785034e-10,0.0,0.2031589288927669,,,0.1532006507233909,1.170000000590924,1.1400000412950306
9,agent5,1,0.0,0.0,-0.1,0.0,0.0,0.19846322679998687,,,-0.09864835733517271,0.0,0.0
10,agent1,2,0.0,-2.1458390619955026e-12,-0.28,3.026837257098252e-11,0.0,0.1898321091508272,,,0.10332386040868557,1.290000000008513,1.62
11,agent2,2,0.0,-1.8633983245308627e-12,-0.17,6.029529556616472e-11,0.0,0.18983910048952815,,,-0.01437975686748355,1.2600000000310612,1.44
12,agent3,2,0.0,0.0,-0.1,0.0,0.0,0.1898392788347449,,,-0.08927807241757593,0.0,0.0
13,agent4,2,0.0,-2.0623502905436908e-12,-0.29,2.534359899072276e-11,0.0,0.19201034419571145,,,0.11286893928426767,1.3200000000095498,1.44
14,agent5,2,0.0,0.0,-0.11,0.0,0.0,0.1876662502884226,,,-0.07742744323508506,0.0,0.0
15,agent1,3,0.0,-2.1866952693017083e-12,-0.25,1.1169714365835682e-09,0.0,0.5618313111120598,,,-0.3118181050960581,1.1400000009773499,1.7
16,agent2,3,0.0,-4.0323300254385686e-13,-0.36,3.5115320751195818e-12,0.0,0.5579993653169957,,,-0.19147594449398753,1.3300000000011878,1.57
17,agent3,3,0.0,0.0,-1.67,0.0,0.0,0.5541609322784076,,,1.21287370233095,0.0,0.0
18,agent4,3,0.0,-1.091926549179334e-11,-0.4,3.996833012192164e-08,0.0,0.5557375214133795,,,-0.14711318611936297,1.0900000314035168,1.66
19,agent5,3,0.0,0.0,-0.11,0.0,0.0,0.560284358146778,,,-0.4605360844323795,0.0,0.0
20,agent1,4,0.0,-2.0605739337042905e-13,-0.4,3.202854093967723e-12,0.0,0.37202966018383177,,,0.043518496745087676,1.3300000000010364,1.65
21,agent2,4,0.0,-5.293543381412746e-13,-0.16,3.1032109372896734e-12,0.0,0.3720258094978158,,,-0.21327751960958333,1.3500000000002739,1.45
22,agent3,4,0.0,0.0,-0.41,0.0,0.0,0.3718614186323675,,,0.05434029471329038,0.0,0.0
23,agent4,4,0.0,-1.687538997430238e-13,-0.78,9.529744966785874e-12,0.0,0.37202732347549616,,,0.45012091453517766,1.280000000004836,1.49
24,agent5,4,0.0,0.0,-0.11,0.0,0.0,0.37201219922133216,,,-0.2667638607216244,0.0,0.0
25,agent1,5,0.0,-3.1086244689504383e-13,-0.84,4.843199072151861e-12,0.0,0.5582559687107939,,,0.3226341261212399,1.2800000000012475,1.39
26,agent2,5,0.0,-9.325873406851315e-13,-0.31,3.335966454128198e-10,0.0,0.5541716487678233,,,-0.24161423232352702,1.1600000002104227,1.4
