,Time Period,Avg Price (c/kwh)
0,0,103.34699936008627
1,1,103.3468387538715
2,2,103.34564868163795
3,3,103.34701959845643
4,4,103.34691783040238
5,5,103.34701943972352
6,6,103.34699914785321
7,7,357.5430388936493
8,8,357.5429965980631
9,9,357.54425969088146
10,10,163.65302863248363
11,11,146.46613515796167
12,12,146.46574626923015
13,13,146.46605495066484
14,14,146.46615334306122
15,15,146.46586892979334
16,16,146.46600883214506
17,17,146.46596632887906
18,18,357.5430388915246
19,19,357.54299949735775
20,20,357.5428792345126
21,21,146.4660371637425
22,22,146.4660474372754
23,23,146.46617141210086
