,Time Period,Avg Price (c/kwh)
0,0,103.34659957036467
1,1,103.34731802327397
2,2,103.3469985054375
3,3,103.34699865507022
4,4,103.34731854316405
5,5,103.34735663873498
6,6,103.34701967618798
7,7,357.5429965333552
8,8,357.54315892315196
9,9,357.54363704555215
10,10,357.54267899923997
11,11,146.46608207157547
12,12,146.46585412971703
13,13,146.46602045792946
14,14,146.46597296256033
15,15,146.46589082951434
16,16,146.46598086184966
17,17,146.46595912557575
18,18,357.542999298395
19,19,357.54287938656495
20,20,357.54291938893397
21,21,146.46600508245692
22,22,146.46603240519138
23,23,146.46624687580905
