,Time Period,Avg Price (c/kwh)
0,0,103.34699739131756
1,1,103.3482785912263
2,2,103.34699941538328
3,3,103.34719851567387
4,4,103.34711970962111
5,5,103.34695904174045
6,6,103.34691981555659
7,7,357.54299822525894
8,8,357.54267871363203
9,9,357.5428385467506
10,10,357.5428368279478
11,11,146.46611802617008
12,12,146.46635879402226
13,13,146.4660705253272
14,14,146.4660878943834
15,15,146.46586252641671
16,16,146.46607095813076
17,17,146.46600355259633
18,18,357.5425575889496
19,19,357.54323978111336
20,20,357.5429597111832
21,21,146.46605954435776
22,22,146.46609956513254
23,23,146.4660432778389
