,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),SolarUsed,LoadUsed,Social Welfare (R),Cost Batt Discharge (R),Cost Batt Charge (R)
0,agent1,0,0.0,-4.298783551348606e-13,-0.26,2.079290058959629e-10,0.0,0.3920506000199096,,,-0.1009680039586428,1.1000000001303445,1.45
1,agent2,0,-0.1199999999954541,-4.334310688136611e-13,-0.34,1.903402384750055e-11,0.0,0.3920505717625774,,,0.1472319443708736,1.2400000000137468,1.329999600001894
2,agent3,0,0.0,0.0,-0.85,0.0,0.0,0.3905529660921343,,,0.5313211543078143,0.0,0.0
3,agent4,0,-0.009999999535690831,-2.425970535568922e-11,-0.27,9.57077006686175e-11,0.0,0.3905489632985655,,,-0.07572521834999618,1.2600000000485898,1.2200000125363475
4,agent5,0,0.0,0.0,-0.11,0.0,0.0,0.39510794589707443,,,-0.26343328115184694,0.0,0.0
5,agent1,1,0.0,-5.204725539442734e-13,-0.47,1.7783988119427733e-10,0.0,0.3614794512176492,,,0.1537579463399461,1.1200000001386103,1.58
6,agent2,1,0.0,-2.0250467969162855e-13,-0.39,8.92291418873048e-12,0.0,0.35994739636375006,,,0.06918021995922113,1.2400000000064133,1.46
7,agent3,1,0.0,0.0,-0.55,0.0,0.0,0.35681820772983286,,,0.24241567255466023,0.0,0.0
8,agent4,1,-0.009999999938447258,-1.1462830684649816e-11,-0.27,7.237181026979636e-11,0.0,0.36147607398398307,,,-0.045639065803424306,1.220000000050441,1.3500000013541604
9,agent5,1,0.0,0.0,-0.11,0.0,0.0,0.3599556926853743,,,-0.230427438158322,0.0,0.0
10,agent1,2,0.0,-4.192202140984591e-13,-0.22,3.468568979463674e-12,0.0,0.32957030207539134,,,-0.08288207485890864,1.3000000000014633,1.47
11,agent2,2,0.0,-9.539036227579345e-13,-0.13,3.150380926520839e-12,0.0,0.32632082974586624,,,-0.17705504223922708,1.350000000000411,1.5
12,agent3,2,0.0,0.0,-0.78,0.0,0.0,0.3262777248745575,,,0.5184636351376729,0.0,0.0
13,agent4,2,0.0,-1.1457501614131615e-12,-0.4,4.096675099002269e-10,0.0,0.32632986726662017,,,0.11183588320627763,1.1000000003475947,1.54
14,agent5,2,0.0,0.0,-0.11,0.0,0.0,0.3312435984200995,,,-0.2016676898912524,0.0,0.0
15,agent1,3,0.0,-3.7125857943465235e-13,-0.23,1.0435818931432584e-11,0.0,0.5160188846351734,,,-0.25296250935648884,1.1800000000034268,1.43
