,Time Period,Avg Price (c/kwh)
0,0,96.71411812798488
1,1,96.71387762477588
2,2,96.71359362713974
3,3,96.71401908667767
4,4,96.71399921893838
5,5,96.71419819741155
6,6,96.71401903562764
7,7,155.4120260965052
8,8,152.55281269087288
9,9,155.4119753577421
10,10,123.10271876513184
11,11,0.002494731072617073
12,12,122.94040428175546
13,13,122.93997350271498
14,14,122.94006781356744
15,15,122.94024505426127
16,16,122.94012916420512
17,17,122.94013440304228
18,18,155.41186593647376
19,19,155.41204203981061
20,20,155.4121276929184
21,21,122.93999980956075
22,22,122.94002999268834
23,23,122.9396908941251
