,Time Period,Avg Price (c/kwh)
0,0,103.3469990872985
1,1,103.34707954014348
2,2,103.3469190350633
3,3,103.34699897510204
4,4,103.34699913526278
5,5,103.3469995732101
6,6,103.34707966558953
7,7,357.5429595720373
8,8,357.5431587784144
9,9,357.5429989068906
10,10,357.5429985731711
11,11,146.46599818343273
12,12,146.46597188688503
13,13,146.46587965780253
14,14,146.46603325608746
15,15,146.46598373462044
16,16,146.46580807334578
17,17,146.4659860688751
18,18,357.5433180308122
19,19,357.5429981919001
20,20,357.54287883545726
21,21,146.4659970654284
22,22,146.46597860131848
23,23,146.46598619690783
