,Time Period,Avg Price (c/kwh)
0,0,96.71395909161377
1,1,96.71399803538036
2,2,96.71423011477955
3,3,96.71399870657952
4,4,96.71399688721061
5,5,96.71399905372778
6,6,96.71399985099416
7,7,155.4120108030654
8,8,155.4119878641099
9,9,155.41200307584498
10,10,0.0024496004692225485
11,11,-0.0006509337784467082
12,12,122.93959045843602
13,13,122.93996467677393
14,14,122.94011261132482
15,15,122.93982098588639
16,16,122.94039038265959
17,17,122.93980749115332
18,18,155.41198117995165
19,19,155.41155074181037
20,20,155.4121286041704
21,21,122.94002975409126
22,22,122.9400392612368
23,23,122.94004823862801
