,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),SolarUsed,LoadUsed,Social Welfare (R),Cost Batt Discharge (R),Cost Batt Charge (R)
0,agent1,0,-0.3999999997837089,-6.039613253960852e-13,-0.21,9.19883514239026e-12,0.0,0.6280780366569471,,,0.16930880700451875,1.3100000000134697,1.1400000002595494
1,agent2,0,-0.3699999999970319,-2.398081733190338e-13,-0.73,1.1171110234984492e-11,0.0,0.6259793668160736,,,0.6837873667929801,1.2800000000143628,1.3100005000010428
2,agent3,0,0.0,0.0,-0.66,0.0,0.0,0.6280749737375761,,,0.09881194703231311,0.0,0.0
3,agent4,0,-0.3999999998508337,-2.1103119252074976e-12,-0.26,4.368492616614748e-10,0.0,0.6280764106949613,,,0.21681033440488634,1.1100000004836534,1.1600000001528956
4,agent5,0,0.0,0.0,-0.11,0.0,0.0,0.6296234235234418,,,-0.4907020466879824,0.0,0.0
5,agent1,1,0.0,-2.8416380359885807e-11,-0.33,4.216800774101564e-09,0.0,0.48969121183309033,,,-0.12027423582305544,1.1900000013846286,1.4
6,agent2,1,-0.02999999980901445,-6.094680315982259e-12,-0.87,2.9208428153453515e-10,0.0,0.48782051085490447,,,0.5023416008577077,1.1000000001743773,1.2099999029921076
7,agent3,1,0.0,0.0,-0.46,0.0,0.0,0.48792496730701856,,,0.020235650148316686,0.0,0.0
8,agent4,1,0.0,-3.4292568784621835e-11,-0.64,2.8288588112001377e-09,0.0,0.48448966013200034,,,0.2155874995498709,1.2600000016287438,1.58
9,agent5,1,0.0,0.0,-0.11,0.0,0.0,0.48969139579572357,,,-0.3556742963047924,0.0,0.0
10,agent1,2,0.0,-3.106137569375278e-11,-0.35,1.7685066905870493e-09,0.0,0.4900100094874231,,,-0.09941794777489493,1.3000000010663035,1.49
11,agent2,2,0.0,-8.22453216642316e-13,-1.21,7.736216195467702e-10,0.0,0.4900152304013607,,,0.8207715256560724,1.080000000639081,1.67
12,agent3,2,0.0,0.0,-0.47,0.0,0.0,0.49001873536075624,,,0.0289650879317076,0.0,0.0
13,agent4,2,0.0,-5.631228816582734e-11,-0.3,1.5312824079749445e-08,0.0,0.49001775533000935,,,-0.15293307667832434,1.1800000097646817,1.62
14,agent5,2,0.0,0.0,-0.12,0.0,0.0,0.4900343603209013,,,-0.3455651349128677,0.0,0.0
15,agent1,3,0.0,-4.1744385725905886e-13,-0.24,3.229206692560278e-10,0.0,0.4580250407409157,,,-0.18617433312753268,1.080000000186687,1.43
16,agent2,3,0.0,-8.391687345010723e-11,-0.89,4.6289911076522036e-08,0.0,0.458019457859181,,,0.5093309945175841,1.120000022464031,1.62
17,agent3,3,0.0,0.0,-0.78,0.0,0.0,0.46042500498371797,,,0.39005414362043156,0.0,0.0
18,agent4,3,0.0,-4.973799150320701e-14,-0.28,1.8817135015171216e-12,0.0,0.4556123799675114,,,-0.14179054415278397,1.2800000000010157,1.72
19,agent5,3,0.0,0.0,-0.1,0.0,0.0,0.4580179978190856,,,-0.33596749524185454,0.0,0.0
20,agent1,4,0.0,-1.5774048733874224e-12,-0.37,5.222873841526309e-12,0.04,0.3927960665446365,,,0.01564851162398284,1.3400000000003265,1.48
