,Time Period,Avg Price (c/kwh)
0,0,96.71401946427176
1,1,96.71336746760225
2,2,96.71384445081405
3,3,96.71399949360182
4,4,96.71383810981786
5,5,95.25905851104565
6,6,96.71399991896494
7,7,155.4119647197846
8,8,155.41197201611897
9,9,155.41206859810893
10,10,139.8820452019361
11,11,122.94223122262112
12,12,122.93987633446628
13,13,122.94040643536393
14,14,122.93954789782839
15,15,122.9400249993831
16,16,122.94011492747339
17,17,122.94014352180587
18,18,155.41224740283704
19,19,155.41193572904913
20,20,155.4120233947703
21,21,122.94000151263363
22,22,122.94009254986788
23,23,122.94008080409805
