,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),SolarUsed,LoadUsed,Social Welfare (R),Cost Batt Discharge (R),Cost Batt Charge (R)
0,agent1,0,-0.47999999997622383,-9.467981954003335e-13,-0.25,2.927487719234062e-11,0.0,0.5979359393748546,,,0.3743507583013968,1.2600000000175648,1.319998400018823
1,agent2,0,-0.5499999667297482,-2.233058182810055e-11,-0.36,1.6788708009080728e-08,0.0,0.5979484776324312,,,0.4794888230001918,1.140000100732248,1.0900025248013092
2,agent3,0,0.0,0.0,-0.1,0.0,0.0,0.6018511009766416,,,-0.5136776884625639,0.0,0.0
3,agent4,0,-0.6599999993328683,-6.572520305780927e-12,-0.48,9.010981989314323e-10,0.0,0.5979453442860367,,,0.8031416925367053,1.1800000126153747,1.140000800475078
4,agent5,0,0.0,0.0,-0.11,0.0,0.0,0.5940292389598109,,,-0.4975293787306056,0.0,0.0
5,agent1,1,-0.019999999757066664,-1.0167866548727034e-11,-0.29,1.072672354356578e-10,0.0,0.1992209535913613,,,0.12998939901534823,1.2300000000276299,1.2200000025508
6,agent2,1,-0.05999999899352642,-9.308109838457312e-12,-0.13,6.765545463739884e-09,0.0,0.20192883564230316,,,0.008112579558379601,1.1100000034364912,1.1800002038581452
7,agent3,1,0.0,0.0,-0.1,0.0,0.0,0.20501849071438644,,,-0.10382125447951299,0.0,0.0
8,agent4,1,-0.019999999978242814,-3.0961899710746366e-12,-0.29,7.377321504137784e-11,0.0,0.19922003466365878,,,0.13058940905727073,1.2400000000387006,1.340000000032636
9,agent5,1,0.0,0.0,-0.1,0.0,0.0,0.20501849071438644,,,-0.10382125447951297,0.0,0.0
10,agent1,2,0.0,-7.526423928538861e-12,-0.27,1.4397752360609581e-08,0.0,0.18038400369119098,,,0.10193598388826297,1.1000000102529275,1.38
11,agent2,2,-0.009999998283890395,-6.163958232718869e-13,-0.13,2.256203485583156e-12,0.0,0.1819816560451035,,,-0.035922580061821086,1.3200000000006804,1.1000000703604937
12,agent3,2,0.0,0.0,-0.1,0.0,0.0,0.18198327973444114,,,-0.08107477663041039,0.0,0.0
13,agent4,2,0.0,-2.0872192862952943e-12,-0.29,1.2482437975505203e-10,0.0,0.18355668530639932,,,0.12111643507596587,1.2300000000832167,1.49
14,agent5,2,0.0,0.0,-0.11,0.0,0.0,0.1819828890844335,,,-0.07037437293040175,0.0,0.0
15,agent1,3,0.0,-4.671818487622659e-13,-0.33,2.326832525433441e-11,0.0,0.3041921474371628,,,0.03813228943496322,1.2700000000143716,1.37
16,agent2,3,0.0,-1.3784529073745944e-12,-0.14,4.1487031099457774e-10,0.0,0.3058773144086657,,,-0.1663667203525123,1.170000000355602,1.44
17,agent3,3,0.0,0.0,-0.1,0.0,0.0,0.30603349239999084,,,-0.20927642966102522,0.0,0.0
18,agent4,3,0.0,-3.581135388230905e-11,-0.85,1.0515961755037809e-07,0.0,0.30801709669159266,,,0.591871045135289,1.080000083185464,1.67
19,agent5,3,0.0,0.0,-0.11,0.0,0.0,0.3058842736474303,,,-0.19847389026334766,0.0,0.0
20,agent1,4,0.0,-6.927791673660977e-14,-0.39,8.847242452832606e-12,0.0,0.42440194159225153,,,-0.021849456630169684,1.2600000000042313,1.39
21,agent2,4,0.0,-2.1671553440683056e-13,-0.29,3.0955135792293034e-12,0.0,0.42740749243319764,,,-0.13092209444305455,1.3100000000006669,1.59
22,agent3,4,0.0,0.0,-0.17,0.0,0.0,0.42595707855802106,,,-0.2583138290204238,0.0,0.0
23,agent4,4,0.0,-1.0125233984581428e-13,-1.17,1.4629819311901954e-12,0.0,0.4259549707384152,,,0.8116880972637499,1.360000000000511,1.4
24,agent5,4,0.0,0.0,-0.11,0.0,0.0,0.4260500472769922,,,-0.3225840732597949,0.0,0.0
25,agent1,5,0.0,-2.2222224060897133e-12,-0.88,1.487950485790783e-09,0.0,0.5680778949452079,,,0.35450833418012584,1.120000000927276,1.64
26,agent2,5,0.0,-3.659295089164516e-13,-0.4,2.7841177598882103e-12,0.0,0.5680685344395972,,,-0.15908199961363362,1.3400000000007954,1.56
27,agent3,5,0.0,0.0,-0.46,0.0,0.0,0.5680765855026572,,,-0.09489006883522166,0.0,0.0
28,agent4,5,0.0,-1.5489831639570184e-12,-0.99,7.141822077838928e-10,0.0,0.5680732227907077,,,0.4722131367057918,1.1500000005735096,1.48
29,agent5,5,0.0,0.0,-0.11,0.0,0.0,0.5680781479528278,,,-0.46939168362594624,0.0,0.0
30,agent1,6,0.0,-1.2519940639776905e-10,-5.26,1.786586422841696e-08,0.26,1.841946008872226,,,3.72460358585002,1.2300000092035999,1.38
31,agent2,6,0.0,-1.822062500878019e-10,-2.39,4.09462389921205e-09,0.26,1.8419231675618981,,,0.6537266364610765,1.2600000007149212,1.66
32,agent3,6,0.0,0.0,-0.44,0.0,0.0,1.8419560204954823,,,-1.4328064452384908,0.0,0.0
33,agent4,6,0.0,-2.2325252757582348e-11,-0.4,1.3218893663942504e-09,0.26,1.8419304611664684,,,-1.475580314821436,1.3500000005637462,1.68
34,agent5,6,0.0,0.0,-1.5,0.0,0.0,1.8419028792927477,,,-0.29855152644425553,0.0,0.0
35,agent1,7,0.0,-1.4573231510439655e-11,-2.27,0.6699999999739797,0.55,0.8720830356845171,,,-1.6204732507089434,1.6200018999821353,1.43
